local_date,local_time,station_id,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,temperature_c,dewpoint_c,altimeter_hpa
01/02/23,00:51:02,KSAN,270.0,12.0,0.0,9.0,13.3,8.9,29.92
01/02/23,01:51:02,KSAN,270.0,7.0,0.0,10.0,13.3,8.9,29.92
01/02/23,02:51:02,KSAN,280.0,8.0,0.0,10.0,13.3,8.3,29.92
01/02/23,03:51:02,KSAN,280.0,11.0,0.0,10.0,13.3,8.9,29.93
01/02/23,03:53:02,KSAN,290.0,8.0,0.0,10.0,13.3,8.9,29.93
01/02/23,03:55:02,KSAN,280.0,8.0,0.0,10.0,13.3,8.9,29.93
01/02/23,04:51:02,KSAN,300.0,3.0,0.0,10.0,12.8,8.3,29.94
01/02/23,05:51:02,KSAN,0.0,0.0,0.0,9.0,11.7,8.3,29.97
01/02/23,06:49:02,KSAN,0.0,0.0,0.0,8.0,12.0,9.0,29.98
01/02/23,06:51:02,KSAN,0.0,0.0,0.0,8.0,12.2,8.9,29.98
01/02/23,07:51:02,KSAN,130.0,3.0,0.0,9.0,11.7,8.3,30.01
01/02/23,08:51:02,KSAN,140.0,7.0,0.0,8.0,13.9,9.4,30.03
01/02/23,09:51:02,KSAN,,5.0,0.0,10.0,15.0,8.9,30.05
01/02/23,10:51:02,KSAN,,6.0,0.0,10.0,15.0,8.3,30.05
01/02/23,11:51:02,KSAN,210.0,7.0,0.0,10.0,15.6,8.3,30.02
01/02/23,12:51:02,KSAN,240.0,8.0,0.0,10.0,15.6,8.3,30.02
01/02/23,13:51:02,KSAN,260.0,11.0,0.0,10.0,15.6,8.3,30.05
01/02/23,14:25:02,KSAN,270.0,10.0,0.0,10.0,15.0,8.9,30.04
01/02/23,14:51:02,KSAN,270.0,6.0,0.0,10.0,15.0,7.8,30.03
01/02/23,15:51:02,KSAN,220.0,5.0,0.0,10.0,14.4,7.8,30.03
01/02/23,16:51:01,KSAN,,3.0,0.0,9.0,14.4,8.9,30.05
01/02/23,17:51:01,KSAN,220.0,5.0,0.0,10.0,14.4,8.9,30.07
01/02/23,18:51:01,KSAN,240.0,5.0,0.0,9.0,14.4,9.4,30.08
01/02/23,19:51:01,KSAN,0.0,0.0,0.0,9.0,14.4,9.4,30.09
01/02/23,20:51:02,KSAN,160.0,5.0,0.0,10.0,14.4,9.4,30.05
01/02/23,21:51:02,KSAN,140.0,5.0,0.0,10.0,13.9,9.4,30.07
01/02/23,22:51:02,KSAN,,6.0,0.0,10.0,13.9,10.0,30.06
01/02/23,23:51:02,KSAN,160.0,7.0,0.0,10.0,14.4,9.4,30.07
01/03/23,00:51:02,KSAN,190.0,9.0,0.0,10.0,14.4,9.4,30.07
01/03/23,01:51:02,KSAN,170.0,7.0,0.0,10.0,14.4,10.0,30.06
01/03/23,02:51:02,KSAN,130.0,9.0,0.0,10.0,13.9,9.4,30.05
01/03/23,03:19:02,KSAN,140.0,10.0,0.0,10.0,13.9,9.4,30.05
01/03/23,03:51:02,KSAN,130.0,10.0,17.0,5.0,13.3,10.0,30.05
01/03/23,03:59:02,KSAN,140.0,7.0,0.0,5.0,13.3,10.0,30.05
01/03/23,04:26:02,KSAN,120.0,6.0,0.0,4.0,12.8,10.6,30.06
01/03/23,04:44:02,KSAN,130.0,10.0,0.0,3.0,12.8,10.6,30.05
01/03/23,04:51:02,KSAN,130.0,10.0,0.0,4.0,12.8,10.6,30.05
01/03/23,05:51:02,KSAN,140.0,8.0,0.0,3.0,12.2,10.6,30.06
01/03/23,06:33:02,KSAN,130.0,10.0,0.0,4.0,12.2,10.6,30.07
01/03/23,06:51:02,KSAN,120.0,10.0,0.0,8.0,12.8,10.6,30.06
01/03/23,07:51:02,KSAN,120.0,9.0,0.0,10.0,13.3,10.0,30.08
01/03/23,08:51:02,KSAN,140.0,10.0,18.0,10.0,13.9,10.0,30.1
01/03/23,09:26:02,KSAN,140.0,9.0,0.0,2.5,13.9,10.6,30.11
01/03/23,09:31:02,KSAN,130.0,7.0,0.0,4.0,13.9,10.6,30.11
01/03/23,09:45:02,KSAN,130.0,8.0,0.0,2.5,14.0,11.0,30.11
01/03/23,09:51:02,KSAN,120.0,9.0,0.0,2.5,13.9,11.1,30.11
01/03/23,10:04:02,KSAN,130.0,8.0,0.0,3.0,13.9,11.1,30.11
01/03/23,10:21:02,KSAN,130.0,7.0,0.0,2.5,13.9,11.7,30.11
01/03/23,10:25:02,KSAN,140.0,8.0,0.0,1.5,13.9,11.7,30.11
01/03/23,10:31:02,KSAN,140.0,8.0,0.0,2.5,13.9,11.7,30.11
01/03/23,10:45:02,KSAN,130.0,8.0,0.0,3.0,14.0,12.0,30.11
01/03/23,10:51:02,KSAN,130.0,8.0,0.0,3.0,13.9,11.7,30.11
01/03/23,10:55:02,KSAN,130.0,7.0,0.0,2.5,13.9,11.7,30.11
01/03/23,11:12:02,KSAN,150.0,8.0,0.0,3.0,14.4,11.7,30.1
01/03/23,11:51:02,KSAN,160.0,8.0,0.0,9.0,15.6,12.2,30.07
01/03/23,12:51:02,KSAN,150.0,9.0,0.0,10.0,15.6,12.2,30.05
01/03/23,13:51:02,KSAN,140.0,8.0,0.0,10.0,15.6,12.2,30.04
01/03/23,14:51:02,KSAN,170.0,8.0,0.0,10.0,16.1,12.2,30.05
01/03/23,15:51:02,KSAN,160.0,10.0,0.0,10.0,16.1,12.2,30.06
01/03/23,16:51:01,KSAN,170.0,7.0,0.0,7.0,16.1,11.7,30.07
01/03/23,17:51:01,KSAN,160.0,7.0,0.0,10.0,15.6,12.2,30.07
01/03/23,18:51:01,KSAN,170.0,8.0,0.0,10.0,16.1,11.7,30.08
01/03/23,19:51:01,KSAN,160.0,6.0,0.0,10.0,16.1,11.7,30.1
01/03/23,20:51:01,KSAN,170.0,7.0,0.0,10.0,16.1,12.2,30.11
01/03/23,21:51:01,KSAN,160.0,10.0,0.0,10.0,16.1,12.2,30.11
01/03/23,22:51:01,KSAN,150.0,9.0,0.0,10.0,16.1,12.2,30.11
01/03/23,23:51:01,KSAN,160.0,10.0,0.0,10.0,16.1,12.2,30.11
01/04/23,00:51:02,KSAN,140.0,9.0,0.0,10.0,15.6,12.8,30.11
01/04/23,01:51:02,KSAN,100.0,4.0,0.0,10.0,15.6,13.3,30.11
01/04/23,02:19:02,KSAN,150.0,7.0,0.0,10.0,15.6,12.8,30.11
01/04/23,02:37:02,KSAN,140.0,8.0,0.0,9.0,15.6,12.8,30.11
01/04/23,02:51:02,KSAN,140.0,9.0,0.0,10.0,15.6,12.8,30.11
01/04/23,03:51:02,KSAN,140.0,8.0,0.0,10.0,15.6,12.8,30.09
01/04/23,04:51:02,KSAN,150.0,7.0,0.0,4.0,15.6,13.3,30.09
01/04/23,04:59:02,KSAN,140.0,5.0,0.0,3.0,15.0,13.3,30.09
01/04/23,05:17:02,KSAN,140.0,3.0,0.0,10.0,15.6,13.3,30.09
01/04/23,05:48:02,KSAN,0.0,0.0,0.0,10.0,16.0,13.0,30.09
01/04/23,05:51:02,KSAN,0.0,0.0,0.0,10.0,15.6,13.3,30.09
01/04/23,06:51:02,KSAN,190.0,4.0,0.0,10.0,16.1,12.8,30.12
01/04/23,07:51:02,KSAN,180.0,9.0,18.0,6.0,16.1,13.3,30.14
01/04/23,08:15:02,KSAN,170.0,8.0,0.0,3.0,15.6,13.9,30.15
01/04/23,08:47:02,KSAN,160.0,5.0,0.0,10.0,16.0,14.0,30.16
01/04/23,08:51:02,KSAN,150.0,7.0,0.0,9.0,16.1,13.9,30.16
01/04/23,09:51:02,KSAN,200.0,5.0,0.0,9.0,16.7,13.9,30.17
01/04/23,10:51:02,KSAN,200.0,8.0,0.0,10.0,17.8,13.9,30.16
01/04/23,11:36:02,KSAN,210.0,7.0,18.0,10.0,17.2,13.9,30.14
01/04/23,11:51:02,KSAN,210.0,8.0,0.0,10.0,17.2,13.9,30.13
01/04/23,12:51:02,KSAN,190.0,7.0,0.0,10.0,17.8,13.3,30.11
01/04/23,13:51:02,KSAN,,5.0,0.0,10.0,17.8,13.3,30.08
01/04/23,14:51:02,KSAN,200.0,6.0,0.0,10.0,17.2,13.3,30.08
01/04/23,15:51:02,KSAN,180.0,7.0,0.0,10.0,17.2,13.3,30.08
01/04/23,15:57:02,KSAN,160.0,8.0,0.0,10.0,16.7,13.3,30.07
01/04/23,16:27:01,KSAN,170.0,8.0,0.0,9.0,16.7,13.3,30.07
01/04/23,16:51:01,KSAN,200.0,7.0,0.0,9.0,16.1,13.3,30.08
01/04/23,17:51:01,KSAN,180.0,6.0,0.0,10.0,15.6,13.3,30.1
01/04/23,18:45:01,KSAN,170.0,5.0,0.0,10.0,16.0,13.0,30.11
01/04/23,18:51:01,KSAN,170.0,7.0,0.0,10.0,15.6,13.3,30.12
01/04/23,19:51:01,KSAN,160.0,6.0,0.0,10.0,16.1,13.3,30.13
01/04/23,20:51:02,KSAN,160.0,7.0,0.0,9.0,16.7,12.8,30.12
01/04/23,21:51:02,KSAN,200.0,6.0,0.0,8.0,16.1,12.8,30.12
01/04/23,22:13:02,KSAN,170.0,9.0,0.0,7.0,15.0,12.2,30.12
01/04/23,22:44:02,KSAN,160.0,7.0,0.0,10.0,15.6,12.2,30.12
01/04/23,22:51:02,KSAN,150.0,7.0,0.0,10.0,15.6,12.2,30.12
01/04/23,23:01:02,KSAN,140.0,7.0,0.0,10.0,15.6,12.2,30.12
01/04/23,23:51:02,KSAN,150.0,7.0,0.0,10.0,16.1,12.8,30.11
01/05/23,00:51:02,KSAN,170.0,7.0,0.0,10.0,16.1,11.7,30.11
01/05/23,01:51:02,KSAN,130.0,9.0,0.0,10.0,16.1,11.7,30.1
01/05/23,02:51:02,KSAN,100.0,6.0,0.0,10.0,15.0,11.1,30.1
01/05/23,03:51:02,KSAN,100.0,7.0,0.0,10.0,15.0,11.1,30.1
01/05/23,04:51:02,KSAN,140.0,9.0,0.0,10.0,15.6,10.6,30.06
01/05/23,05:51:02,KSAN,140.0,9.0,0.0,10.0,15.6,11.1,30.06
01/05/23,06:51:02,KSAN,160.0,8.0,0.0,10.0,15.0,11.1,30.09
01/05/23,07:51:02,KSAN,150.0,10.0,0.0,10.0,15.0,10.6,30.1
01/05/23,08:51:02,KSAN,140.0,12.0,0.0,9.0,15.6,10.6,30.1
01/05/23,09:30:02,KSAN,160.0,7.0,0.0,8.0,16.1,10.6,30.13
01/05/23,09:51:02,KSAN,160.0,16.0,25.0,9.0,15.6,11.1,30.12
01/05/23,10:28:02,KSAN,160.0,15.0,21.0,9.0,14.4,12.2,30.13
01/05/23,10:45:02,KSAN,160.0,11.0,0.0,10.0,14.0,12.0,30.13
01/05/23,10:51:02,KSAN,170.0,10.0,0.0,7.0,15.0,12.2,30.13
01/05/23,11:05:02,KSAN,160.0,14.0,20.0,2.5,14.4,12.2,30.13
01/05/23,11:13:02,KSAN,170.0,11.0,20.0,1.5,14.4,12.2,30.13
01/05/23,11:15:02,KSAN,170.0,11.0,18.0,1.5,14.4,12.2,30.13
01/05/23,11:20:02,KSAN,170.0,13.0,0.0,2.0,14.4,12.2,30.13
01/05/23,11:51:02,KSAN,170.0,13.0,25.0,2.0,15.0,12.8,30.11
01/05/23,12:00:02,KSAN,170.0,15.0,22.0,1.5,15.0,12.8,30.11
01/05/23,12:13:02,KSAN,200.0,13.0,21.0,2.0,14.4,12.8,30.12
01/05/23,12:47:02,KSAN,220.0,7.0,22.0,3.0,14.0,13.0,30.11
01/05/23,12:51:02,KSAN,210.0,8.0,0.0,5.0,14.4,13.3,30.11
01/05/23,13:51:02,KSAN,210.0,8.0,0.0,10.0,16.1,13.9,30.11
01/05/23,14:18:02,KSAN,210.0,11.0,16.0,9.0,16.7,13.9,30.11
01/05/23,14:51:02,KSAN,210.0,9.0,0.0,9.0,16.7,13.9,30.11
01/05/23,15:06:02,KSAN,220.0,8.0,0.0,9.0,17.2,14.4,30.11
01/05/23,15:51:02,KSAN,210.0,7.0,0.0,9.0,16.7,13.9,30.13
01/05/23,16:49:01,KSAN,170.0,8.0,0.0,10.0,16.0,14.0,30.14
01/05/23,16:51:01,KSAN,170.0,5.0,0.0,10.0,16.1,13.9,30.14
01/05/23,17:15:01,KSAN,260.0,7.0,0.0,10.0,16.1,13.9,30.15
01/05/23,17:24:01,KSAN,220.0,7.0,0.0,10.0,16.1,13.3,30.15
01/05/23,17:51:01,KSAN,240.0,6.0,0.0,10.0,16.1,13.9,30.17
01/05/23,18:43:01,KSAN,260.0,4.0,0.0,6.0,16.1,13.3,30.19
01/05/23,18:51:01,KSAN,250.0,3.0,0.0,6.0,15.6,13.3,30.19
01/05/23,19:51:02,KSAN,0.0,0.0,0.0,6.0,15.6,12.8,30.21
01/05/23,20:28:02,KSAN,0.0,0.0,0.0,6.0,14.4,12.8,30.23
01/05/23,20:46:02,KSAN,0.0,0.0,0.0,6.0,14.0,13.0,30.23
01/05/23,20:51:02,KSAN,0.0,0.0,0.0,6.0,14.4,12.8,30.23
01/05/23,20:57:02,KSAN,0.0,0.0,0.0,6.0,14.4,12.8,30.23
01/05/23,21:10:02,KSAN,0.0,0.0,0.0,5.0,14.4,12.8,30.23
01/05/23,21:24:02,KSAN,0.0,0.0,0.0,5.0,14.4,12.8,30.23
01/05/23,21:51:02,KSAN,0.0,0.0,0.0,4.0,13.9,12.2,30.24
01/05/23,22:51:02,KSAN,350.0,4.0,0.0,5.0,13.3,11.7,30.23
01/05/23,23:51:02,KSAN,320.0,5.0,0.0,8.0,12.8,11.1,30.22
01/06/23,00:51:02,KSAN,360.0,3.0,0.0,7.0,12.2,10.6,30.2
01/06/23,01:51:02,KSAN,0.0,0.0,0.0,6.0,11.1,10.0,30.2
01/06/23,02:51:02,KSAN,0.0,0.0,0.0,6.0,10.6,8.9,30.21
01/06/23,03:51:02,KSAN,0.0,0.0,0.0,5.0,10.0,8.9,30.21
01/06/23,04:51:02,KSAN,0.0,0.0,0.0,5.0,10.0,8.3,30.21
01/06/23,05:51:02,KSAN,0.0,0.0,0.0,7.0,9.4,8.3,30.21
01/06/23,06:51:02,KSAN,0.0,0.0,0.0,9.0,10.0,8.3,30.23
01/06/23,07:51:02,KSAN,0.0,0.0,0.0,9.0,10.0,8.3,30.24
